vodapid;description
v000;foaf:name is a required property for Agent
v001;foaf:name should be a literal
v002;dct:type is a recommended property for Agent
v003;dct:type should be a skos:Concept
v011;dct:publisher should be a foaf:Agent
v012;dct:title is a required property for Cataalog
v098;dct:type has maximum cardinality of 1 for Agent
v113;foaf:Agent does not exist
v112;dcat:Catalog does not exist
v138;dct:license should be a dct:LicenseDocument
v013;dct:title should be a literal
v014;foaf:homepage is a recommended property for Catalog
v015;foaf:homepage has maximum cardinality of 1 for Catalog
v017;foaf:homepage should be a foaf:Document
v018;dct:language is a recommended property for Catalog
v020;dct:language should be a dct:LinguisticSystem
v021;dct:license is a recommended property for Catalog
v023;dct:license has a maximum cardinality of 1 for Catalog
v024;dct:issued is a recommended property for Catalog
v025;dct:issued should be literal typed as date or dateTime
v026;dct:issued has maximum cardinality of 1 for Catalog
v030;dcat:record should be a dcat:CatalogRecord
v031;dct:modified is a recommended property for Catalog
v032;dct:modified should be a literal typed as date or dateTime
v033;dct:modified has maximum cardinality of 1 for Catalog
v004;dcat:dataset is a required property for Catalog
v005;dcat:dataset should be a dcat:Dataset
v006;dct:description is a required property for Catalog
v007;dct:description should be a literal
v008;dct:publisher is a required property for Catalog
v119;foaf:primaryTopic is a required property for Catalog Record
v120;dct:modified is a required property for Catalog Record
v121;foaf:primaryTopic has a maximum cardinality of 1 for Catalog Record
v127;dct:issued has a maximum cardinality of 1 for dcat:Catalog Record
v142;foaf:primaryTopic should be a dcat:Dataset
v143;dct:modified should be a literal typed as date or dateTime
v146;dct:issued is a recommended property for Catalog Record
v147;dct:issued should be a literal typed as date or dateTime
v122;dct:modified has a maximum cardinality of 1 for Catalog Record
v123;dct:conformsTo has a maximum cardinality of 1 for Catalog Record
v124;dct:conformsTo should be a resource
v125;adms:status has a maximum cardinality of 1 for Catalog Record
v126;adms:status should be a skos:Concept
v128;dct:source should be a dcat:CatalogRecord
v129;dct:source has a maximum cardinality of 1 for Catalog Record
v131;dct:language should be a dct:LinguisticSystem
v144;dct:conformsTo is a recommended property for Catalog Record
v145;adms:status is a recommended property for Catalog Record
v148;dct:description should be a literal
v149;dct:title should be a literal
v139;dcat:themeTaxonomy should be a skos:ConceptScheme
v140;dct:hasPart should be a dcat:Catalog
v141;dct:isPartOf should be a dcat:Catalog
v027;dcat:themeTaxonomy is a recommended property for Catalog
v034;dct:rights should be a dct:RightsStatement
v035;dct:rights has maximum cardinality of 1 for Catalog
v036;dct:spatial should be a dct:Location
v099;dct:isPartOf has maximum cardinality of 1 for Catalog
v009;dct:publisher has maximum cardinality of 1 for Catalog
v167;skos:Concept does not exist
v169;skos:prefLabel is a required property for Category
v173;skos:prefLabel should be a literal
v168;skos:ConceptScheme does not exist
